Product_ID,Product_Name,Category,Warehouse,Location,Quantity,Price,Supplier,stock_status,Last_Restocked,Total_inventory
1102, gadget y ,Cloths,Warehouse 2,Aisle 1,300,9.99,Supplier C,In Stock,NaN,2997.00 
1435, gadget y ,Cloths,Warehouse 2,Aisle 4,200,19.99,Supplier C,Out of Stock,NaN,3998.00 
1860, widget a ,Toys,Warehouse 2,Aisle 3,100,19.99,Supplier B,In Stock,20-12-2022,1999.00 
1270, gadget z ,Toys,Warehouse 2,Aisle 4,50,49.99,Supplier B,In Stock,21-12-2022,2499.50 
1106, widget a ,Toys,Warehouse 3,Aisle 3,200,9.99,Supplier D,Out of Stock,22-12-2022,1998.00 
1071, widget b ,Cloths,Warehouse 3,Aisle 5,300,NaN,Supplier A,In Stock,23-12-2022,NULL
1700, widget a ,Toys,Warehouse 2,Aisle 2,200,49.99,Supplier B,In Stock,24-12-2022,9998.00 
1020, widget c ,Electronic,Warehouse 1,Aisle 5,200,9.99,Supplier D,Out of Stock,25-12-2022,1998.00 
1614, gadget y ,Cloths,Warehouse 3,Aisle 3,300,9.99,Supplier B,Out of Stock,26-12-2022,2997.00 
1121, widget b ,Cloths,Warehouse 1,Aisle 2,50,19.99,Supplier C,Out of Stock,27-12-2022,999.50 
1466, widget a ,Toys,Warehouse 3,Aisle 1,NaN,49.99,Supplier B,In Stock,28-12-2022,NULL
1214, gadget z ,Toys,Warehouse 2,Aisle 1,50,9.99,Supplier A,Low Stock,29-12-2022,499.50 
1330, widget c ,Electronic,Warehouse 3,Aisle 4,150,9.99,Supplier B,In Stock,30-12-2022,1498.50 
1458, widget c ,Electronic,Warehouse 2,Aisle 3,300,49.99,Supplier A,Low Stock,31-12-2022,14997.00 
1087, widget a ,Toys,Warehouse 3,Aisle 3,50,NaN,Supplier C,Out of Stock,01-01-2023,NULL
1372, gadget y ,Cloths,Warehouse 2,Aisle 1,200,49.99,Supplier A,Low Stock,02-01-2023,9998.00 
1099, widget a ,Toys,Warehouse 2,Aisle 5,300,49.99,Supplier B,Out of Stock,03-01-2023,14997.00 
1871, widget b ,Cloths,Warehouse 2,Aisle 2,100,NaN,Supplier D,Out of Stock,04-01-2023,NULL
1663, widget a ,Toys,Warehouse 2,Aisle 5,50,49.99,Supplier C,Low Stock,05-01-2023,2499.50 
1130, widget c ,Electronic,Warehouse 1,Aisle 5,300,9.99,Supplier B,Out of Stock,06-01-2023,2997.00 
1661, widget a ,Toys,Warehouse 2,Aisle 1,50,49.99,Supplier C,Low Stock,07-01-2023,2499.50 
1308, gadget y ,Cloths,Warehouse 1,Aisle 1,300,NaN,Supplier C,Out of Stock,08-01-2023,NULL
1769, gadget z ,Toys,Warehouse 1,Aisle 1,200,29.99,Supplier B,In Stock,09-01-2023,5998.00 
