Month,City,Cuisine,Orders,Revenue,Avg_Order_Value,Avg_Delivery_Time_Min,Cancellation_Rate,Avg_Rider_Rating
2023-06,Mumbai,North Indian,3296,1117043.83,338.83,28.1,0.035,4.49
2023-06,Mumbai,South Indian,2173,895064.87,411.85,35.3,0.023,4.71
2023-06,Mumbai,Chinese,2673,756195.82,282.87,31.2,0.025,4.27
2023-06,Mumbai,Italian,1435,554293.66,386.26,31.4,0.03,4.69
2023-06,Mumbai,Fast Food,3714,1069097.47,287.79,32.0,0.045,4.49
2023-06,Delhi,North Indian,3144,1196479.85,380.5,33.5,0.048,4.56
2023-06,Delhi,South Indian,2197,634928.02,288.92,28.7,0.03,4.42
2023-06,Delhi,Chinese,2436,706261.78,289.85,35.9,0.047,4.37
2023-06,Delhi,Italian,1479,541708.03,366.24,29.7,0.033,4.42
2023-06,Delhi,Fast Food,3686,1410487.2,382.6,28.2,0.043,4.24
2023-06,Bangalore,North Indian,2824,1081541.52,382.85,32.0,0.031,4.76
2023-06,Bangalore,South Indian,1846,725670.73,392.92,34.5,0.044,4.66
2023-06,Bangalore,Chinese,2361,771722.31,326.74,37.5,0.03,4.64
2023-06,Bangalore,Italian,1349,493283.15,365.63,32.6,0.022,4.42
2023-06,Bangalore,Fast Food,3511,1346860.29,383.59,31.7,0.025,4.45
2023-06,Pune,North Indian,2011,786883.66,391.14,35.3,0.046,4.7
2023-06,Pune,South Indian,1629,500164.04,307.02,31.3,0.033,4.66
2023-06,Pune,Chinese,1904,618337.13,324.64,34.6,0.037,4.54
2023-06,Pune,Italian,993,395780.16,398.29,32.4,0.023,4.38
2023-06,Pune,Fast Food,2395,771682.67,322.14,31.4,0.041,4.25
2023-06,Hyderabad,North Indian,2223,706363.47,317.7,34.3,0.045,4.59
2023-06,Hyderabad,South Indian,1633,579281.71,354.72,32.2,0.029,4.75
2023-06,Hyderabad,Chinese,1991,759465.87,381.35,33.0,0.039,4.5
2023-06,Hyderabad,Italian,1109,380293.81,342.69,37.7,0.048,4.53
2023-06,Hyderabad,Fast Food,2349,957963.56,407.65,37.3,0.027,4.39
2023-06,Chennai,North Indian,2433,824466.93,338.85,34.0,0.048,4.78
2023-06,Chennai,South Indian,1566,594818.22,379.81,33.1,0.024,4.51
2023-06,Chennai,Chinese,2036,611399.87,300.29,37.6,0.049,4.76
2023-06,Chennai,Italian,1141,408055.8,357.55,34.5,0.022,4.64
2023-06,Chennai,Fast Food,2737,855810.18,312.6,28.6,0.045,4.62
2023-07,Mumbai,North Indian,3019,1047721.2,346.96,31.6,0.022,4.75
2023-07,Mumbai,South Indian,2397,877275.59,365.96,34.8,0.048,4.39
2023-07,Mumbai,Chinese,2471,710328.11,287.41,28.8,0.049,4.7
2023-07,Mumbai,Italian,1475,558971.71,378.86,36.1,0.026,4.75
2023-07,Mumbai,Fast Food,3786,1150715.06,303.91,34.7,0.027,4.38
2023-07,Delhi,North Indian,2843,1095370.46,385.26,31.2,0.029,4.73
2023-07,Delhi,South Indian,2132,616714.1,289.16,34.9,0.037,4.54
2023-07,Delhi,Chinese,2488,907202.16,364.52,37.0,0.036,4.56
2023-07,Delhi,Italian,1443,432607.91,299.69,35.9,0.027,4.33
2023-07,Delhi,Fast Food,3637,1411900.08,388.16,33.4,0.024,4.74
2023-07,Bangalore,North Indian,2512,1022880.2,407.18,30.3,0.034,4.33
2023-07,Bangalore,South Indian,2114,738043.99,349.1,31.7,0.04,4.31
2023-07,Bangalore,Chinese,2255,762677.89,338.14,32.5,0.021,4.45
2023-07,Bangalore,Italian,1350,429897.08,318.36,36.8,0.048,4.77
2023-07,Bangalore,Fast Food,3136,1289980.4,411.25,33.9,0.038,4.38
2023-07,Pune,North Indian,2281,779471.44,341.71,31.3,0.039,4.35
2023-07,Pune,South Indian,1469,484347.56,329.57,36.3,0.036,4.39
2023-07,Pune,Chinese,1710,483479.47,282.57,33.0,0.043,4.64
2023-07,Pune,Italian,954,379584.5,397.5,30.8,0.035,4.3
2023-07,Pune,Fast Food,2496,999637.73,400.38,31.4,0.036,4.27
2023-07,Hyderabad,North Indian,2159,832864.19,385.74,33.2,0.031,4.53
2023-07,Hyderabad,South Indian,1651,535251.08,324.05,37.9,0.025,4.73
2023-07,Hyderabad,Chinese,1992,771354.06,387.04,31.0,0.026,4.69
2023-07,Hyderabad,Italian,1056,306565.33,290.16,33.6,0.046,4.43
2023-07,Hyderabad,Fast Food,2816,837606.56,297.38,28.3,0.039,4.26
2023-07,Chennai,North Indian,2492,795500.77,319.18,34.6,0.024,4.34
2023-07,Chennai,South Indian,1636,473242.84,289.2,35.9,0.034,4.6
2023-07,Chennai,Chinese,2040,686387.74,336.3,28.8,0.028,4.62
2023-07,Chennai,Italian,1160,448916.94,386.74,32.5,0.041,4.59
2023-07,Chennai,Fast Food,2995,1092274.33,364.63,32.7,0.046,4.21
