Month,City,Plan,Channel,New_Signups,Churn_Rate,Avg_Satisfaction_Score,Avg_Classes_Attended,Active_Trainer_Count
2023-01,Mumbai,Basic,Online Signup,265,0.067,4.13,6.4,14
2023-01,Mumbai,Basic,Walk-in,217,0.043,4.52,8.8,10
2023-01,Mumbai,Premium,Online Signup,175,0.046,4.32,6.3,8
2023-01,Mumbai,Premium,Walk-in,146,0.056,4.33,6.2,11
2023-01,Mumbai,Elite,Online Signup,82,0.055,4.23,7.7,9
2023-01,Mumbai,Elite,Walk-in,63,0.067,4.53,8.8,14
2023-01,Delhi,Basic,Online Signup,272,0.059,4.53,9.6,11
2023-01,Delhi,Basic,Walk-in,203,0.042,4.15,6.4,10
2023-01,Delhi,Premium,Online Signup,170,0.048,4.41,10.4,9
2023-01,Delhi,Premium,Walk-in,140,0.048,4.14,6.7,10
2023-01,Delhi,Elite,Online Signup,70,0.043,4.57,8.7,11
2023-01,Delhi,Elite,Walk-in,62,0.052,4.18,7.1,12
2023-01,Bangalore,Basic,Online Signup,242,0.045,4.13,8.3,13
2023-01,Bangalore,Basic,Walk-in,217,0.052,4.31,8.8,11
2023-01,Bangalore,Premium,Online Signup,157,0.052,4.11,7.2,14
2023-01,Bangalore,Premium,Walk-in,130,0.06,4.42,8.6,8
2023-01,Bangalore,Elite,Online Signup,70,0.065,4.42,8.9,10
2023-01,Bangalore,Elite,Walk-in,54,0.053,4.33,7.6,11
2023-01,Pune,Basic,Online Signup,193,0.057,4.32,10.0,14
2023-01,Pune,Basic,Walk-in,152,0.042,4.16,8.7,13
2023-01,Pune,Premium,Online Signup,121,0.07,4.55,8.8,13
2023-01,Pune,Premium,Walk-in,106,0.042,4.15,7.2,8
2023-01,Pune,Elite,Online Signup,53,0.049,4.18,10.1,8
2023-01,Pune,Elite,Walk-in,44,0.041,4.22,8.6,14
2023-01,Hyderabad,Basic,Online Signup,199,0.049,4.36,7.2,13
2023-01,Hyderabad,Basic,Walk-in,161,0.066,4.46,7.5,9
2023-01,Hyderabad,Premium,Online Signup,138,0.07,4.44,9.6,9
2023-01,Hyderabad,Premium,Walk-in,110,0.067,4.52,8.3,12
2023-01,Hyderabad,Elite,Online Signup,64,0.052,4.52,10.3,9
2023-01,Hyderabad,Elite,Walk-in,45,0.06,4.22,9.9,10
2023-02,Mumbai,Basic,Online Signup,357,0.054,4.13,9.6,13
2023-02,Mumbai,Basic,Walk-in,260,0.056,4.16,7.6,12
2023-02,Mumbai,Premium,Online Signup,230,0.068,4.5,7.3,10
2023-02,Mumbai,Premium,Walk-in,201,0.064,4.45,9.4,13
2023-02,Mumbai,Elite,Online Signup,99,0.056,4.26,6.7,11
2023-02,Mumbai,Elite,Walk-in,83,0.051,4.36,8.5,13
2023-02,Delhi,Basic,Online Signup,333,0.048,4.18,9.9,9
2023-02,Delhi,Basic,Walk-in,265,0.055,4.37,6.9,14
2023-02,Delhi,Premium,Online Signup,211,0.059,4.51,10.8,10
2023-02,Delhi,Premium,Walk-in,177,0.057,4.19,8.2,12
2023-02,Delhi,Elite,Online Signup,98,0.061,4.37,10.7,10
2023-02,Delhi,Elite,Walk-in,72,0.052,4.58,9.5,10
2023-02,Bangalore,Basic,Online Signup,299,0.04,4.4,9.9,12
2023-02,Bangalore,Basic,Walk-in,242,0.068,4.43,10.2,11
2023-02,Bangalore,Premium,Online Signup,216,0.059,4.33,7.8,8
2023-02,Bangalore,Premium,Walk-in,162,0.059,4.16,9.2,11
2023-02,Bangalore,Elite,Online Signup,91,0.046,4.37,9.0,12
2023-02,Bangalore,Elite,Walk-in,77,0.067,4.2,10.9,8
2023-02,Pune,Basic,Online Signup,255,0.062,4.35,8.8,9
2023-02,Pune,Basic,Walk-in,205,0.04,4.56,7.2,10
2023-02,Pune,Premium,Online Signup,155,0.047,4.47,7.9,13
2023-02,Pune,Premium,Walk-in,134,0.065,4.46,8.6,8
2023-02,Pune,Elite,Online Signup,66,0.068,4.15,8.4,9
2023-02,Pune,Elite,Walk-in,57,0.065,4.16,9.1,9
2023-02,Hyderabad,Basic,Online Signup,254,0.057,4.26,8.8,13
2023-02,Hyderabad,Basic,Walk-in,216,0.042,4.47,7.0,12
2023-02,Hyderabad,Premium,Online Signup,150,0.057,4.5,8.0,12
2023-02,Hyderabad,Premium,Walk-in,140,0.059,4.47,9.0,8
2023-02,Hyderabad,Elite,Online Signup,78,0.053,4.24,7.6,12
2023-02,Hyderabad,Elite,Walk-in,58,0.053,4.51,10.5,10
2023-03,Mumbai,Basic,Online Signup,343,0.066,4.37,7.7,8
2023-03,Mumbai,Basic,Walk-in,278,0.063,4.14,8.0,10
2023-03,Mumbai,Premium,Online Signup,224,0.041,4.11,7.6,11
2023-03,Mumbai,Premium,Walk-in,199,0.049,4.35,9.9,12
2023-03,Mumbai,Elite,Online Signup,105,0.041,4.43,9.7,8
2023-03,Mumbai,Elite,Walk-in,85,0.049,4.2,7.6,9
2023-03,Delhi,Basic,Online Signup,330,0.05,4.57,7.9,10
2023-03,Delhi,Basic,Walk-in,271,0.057,4.55,7.5,12
2023-03,Delhi,Premium,Online Signup,209,0.058,4.22,8.2,8
2023-03,Delhi,Premium,Walk-in,175,0.06,4.18,6.5,12
2023-03,Delhi,Elite,Online Signup,93,0.068,4.18,6.1,11
2023-03,Delhi,Elite,Walk-in,74,0.069,4.51,10.6,10
2023-03,Bangalore,Basic,Online Signup,306,0.055,4.37,9.0,8
2023-03,Bangalore,Basic,Walk-in,266,0.063,4.42,7.1,14
2023-03,Bangalore,Premium,Online Signup,216,0.051,4.13,10.5,9
2023-03,Bangalore,Premium,Walk-in,154,0.067,4.31,8.3,11
2023-03,Bangalore,Elite,Online Signup,92,0.053,4.21,7.8,12
2023-03,Bangalore,Elite,Walk-in,73,0.064,4.32,7.2,10
2023-03,Pune,Basic,Online Signup,248,0.049,4.55,8.5,12
2023-03,Pune,Basic,Walk-in,197,0.066,4.1,7.8,12
2023-03,Pune,Premium,Online Signup,164,0.053,4.51,10.5,8
2023-03,Pune,Premium,Walk-in,130,0.051,4.4,6.6,12
2023-03,Pune,Elite,Online Signup,70,0.04,4.57,8.6,9
2023-03,Pune,Elite,Walk-in,60,0.05,4.27,7.8,13
2023-03,Hyderabad,Basic,Online Signup,265,0.068,4.28,10.9,12
2023-03,Hyderabad,Basic,Walk-in,198,0.053,4.46,10.3,13
2023-03,Hyderabad,Premium,Online Signup,170,0.046,4.15,10.2,11
2023-03,Hyderabad,Premium,Walk-in,137,0.058,4.25,9.2,14
2023-03,Hyderabad,Elite,Online Signup,71,0.049,4.12,7.1,14
2023-03,Hyderabad,Elite,Walk-in,64,0.065,4.49,7.2,14
2023-04,Mumbai,Basic,Online Signup,335,0.056,4.41,10.5,11
2023-04,Mumbai,Basic,Walk-in,274,0.04,4.23,9.3,11
